volume peso recompensa duração(s) express
3 19 754 984 0
16 13 1121 641 0
25 28 1370 535 0
6 26 1991 318 0
16 26 1590 728 0
19 28 946 1021 0
19 16 1967 865 0
16 13 367 703 0
3 19 585 827 0
13 29 1511 325 0
23 16 868 608 0
25 13 1251 384 0
26 22 1628 925 0
20 13 1542 128 0
9 9 1137 1019 0
6 26 1291 1035 0
3 23 1410 1028 0
3 19 1432 1051 0
22 16 982 229 0
3 20 1645 316 0
13 3 621 723 0
10 3 1886 632 0
26 16 403 402 0
3 16 501 692 0
3 13 1907 307 0
23 16 1918 1042 0
25 28 724 816 0
6 6 564 1017 0
13 26 396 664 0
13 22 590 660 0
29 16 1051 169 0
16 13 707 359 0
19 25 854 790 0
6 3 1347 609 0
29 20 1991 704 0
25 19 1889 468 0
3 13 472 300 0
7 13 898 325 0
19 3 762 269 0
16 19 1193 338 0
7 23 1303 229 0
25 16 620 1002 0
19 19 1437 576 0
29 20 1160 237 0
19 19 873 118 0
6 19 1591 138 0
3 10 579 103 0
19 25 1263 748 0
16 13 1718 114 0
3 20 1263 905 0
22 13 293 191 0
3 19 600 422 0
7 26 634 751 0
3 9 1558 1056 0
26 26 1790 648 0
26 20 971 308 0
13 9 820 552 0
16 10 1508 454 0
23 26 1520 942 0
22 13 667 765 0
26 22 1348 605 0
3 7 1565 226 0
25 6 216 182 0
29 29 763 971 0
23 20 1536 804 0
22 19 783 277 0
16 6 1332 642 0
7 3 1823 958 0
28 6 1065 121 0
16 10 1081 1064 0
7 20 1880 705 0
16 28 1821 660 0
26 6 1627 732 0
13 10 483 694 0
25 28 221 802 0
26 26 496 520 0
13 20 1925 840 0
6 28 1820 271 0
29 29 1019 326 0
26 26 716 445 0
25 28 521 989 0
19 13 1784 152 0
16 20 816 1079 0
25 28 1909 396 0
10 10 588 654 0
26 29 1233 434 0
19 6 1204 453 0
13 3 466 937 0
7 20 412 756 0
19 9 1059 580 0
22 3 480 1037 0
13 10 738 190 0
9 22 909 192 0
10 10 1856 576 0
7 26 1166 552 0
25 6 653 107 0
19 22 1719 159 0
3 13 633 583 0
22 16 1819 768 0
26 22 1487 269 0
20 10 1663 207 0
25 6 647 415 0
16 6 755 874 0
16 10 1309 888 0
9 19 1281 241 0
22 16 644 313 0
