volume peso recompensa duração(s)
3 19 754 984 1
16 13 1121 641 1''
25 28 1370 535 1
6 26 1991 318 1
16 26 1590 728 1
19 28 946 1021 1
19 16 1967 865 1
16 13 367 703 1
3 19 585 827 1
13 29 1511 325 1
23 16 868 608 1
25 13 1251 384 1
26 22 1628 925 1
20 13 1542 128 1
9 9 1137 1019 1
6 26 1291 1035 1
3 23 1410 1028 1
3 19 1432 1051 1
22 16 982 229 1
3 20 1645 316 1
13 3 621 723 1
10 3 1886 632 1
26 16 403 402 1
3 16 501 692 1
3 13 1907 307 1
23 16 1918 1042 1
25 28 724 816 1
6 6 564 1017 1
13 26 396 664 1
13 22 590 660 1
29 16 1051 169 1
16 13 707 359 1
19 25 854 790 1
6 3 1347 609 1
29 20 1991 704 1
25 19 1889 468 1
3 13 472 300 1
7 13 898 325 1
19 3 762 269 1
16 19 1193 338 1
7 23 1303 229 1
25 16 620 1002 1
19 19 1437 576 1
29 20 1160 237 1
19 19 873 118 1
6 19 1591 138 1
3 10 579 103 1
19 25 1263 748 1
16 13 1718 114 1
3 20 1263 905 1
22 13 293 191 1
3 19 600 422 1
7 26 634 751 1
3 9 1558 1056 1
26 26 1790 648 1
26 20 971 308 1
13 9 820 552 1
16 10 1508 454 1
23 26 1520 942 1
22 13 667 765 1
26 22 1348 605 1
3 7 1565 226 1
25 6 216 182 1
29 29 763 971 1
23 20 1536 804 1
22 19 783 277 1
16 6 1332 642 1
7 3 1823 958 1
28 6 1065 121 1
16 10 1081 1064 1
7 20 1880 705 1
16 28 1821 660 1
26 6 1627 732 1
13 10 483 694 1
25 28 221 802 1
26 26 496 520 1
13 20 1925 840 1
6 28 1820 271 1
29 29 1019 326 1
26 26 716 445 1
25 28 521 989 1
19 13 1784 152 1
16 20 816 1079 1
25 28 1909 396 1
10 10 588 654 1
26 29 1233 434 1
19 6 1204 453 1
13 3 466 937 1
7 20 412 756 1
19 9 1059 580 1
22 3 480 1037 1
13 10 738 190 1
9 22 909 192 1
10 10 1856 576 1
7 26 1166 552 1
25 6 653 107 1
19 22 1719 159 1
3 13 633 583 1
22 16 1819 768 1
26 22 1487 269 1
20 10 1663 207 1
25 6 647 415 1
16 6 755 874 1
16 10 1309 888 1
9 19 1281 241 1
22 16 644 313 1
10 3 547 766 1
16 22 1579 619 1
16 29 1694 404 1
26 7 738 375 1
6 22 794 783 1
22 3 338 357 1
10 26 410 192 1
19 22 735 193 1
19 13 1688 640 1
29 26 719 600 1
6 3 615 970 1
22 19 287 752 1
23 20 437 996 1
9 22 452 901 1
19 13 1537 614 1
13 26 1253 542 1
25 19 1753 524 1
6 10 1572 528 1
10 26 1229 237 1
13 25 1467 1058 1
13 26 1073 1066 1
10 10 1285 483 1
9 19 775 997 1
16 29 1739 656 1
16 29 533 935 1
9 6 748 381 1
22 13 709 953 1
3 3 575 287 1
28 9 1185 918 1
6 19 486 789 1
16 13 654 720 1
3 22 1662 201 1
16 3 262 658 1
3 10 1475 786 1
6 3 453 537 1
22 16 1175 863 1
29 10 1463 145 1
3 13 1889 538 1
6 29 1800 116 1
7 7 1524 189 1
19 13 1904 276 1
6 29 1859 261 1
3 3 715 977 1
13 13 1714 399 1
22 10 1079 154 1
13 29 719 531 1
3 16 1456 192 1
13 3 795 302 1
13 13 1008 398 1
22 13 1897 272 1
29 22 561 236 1
29 26 1724 482 1
19 25 844 478 1
6 26 1143 180 1
16 26 1789 1077 1
16 19 1873 697 1
26 19 244 1055 1
23 13 206 128 1
3 16 220 351 1
6 6 631 145 1
10 3 1641 417 1
9 13 211 1039 1
26 16 1296 524 1
16 29 1593 882 1
25 16 1200 591 1
6 16 1023 132 1
13 10 1614 331 1
3 19 952 540 1
22 13 226 631 1
20 10 1569 720 1
22 25 1227 810 1
10 19 1278 267 1
23 29 1789 900 1
25 25 371 509 1
22 22 930 324 1
13 29 1255 923 1
9 25 1529 1008 1
22 16 1598 841 1
20 26 1863 104 1
19 22 1804 622 1
6 13 1201 715 1
20 7 386 964 1
25 22 1331 509 1
16 19 234 1001 1
10 13 419 950 1
25 28 1521 284 1
13 3 203 818 1
3 13 1502 270 1
28 16 827 999 1
29 29 969 833 1
3 20 1434 362 1
13 3 455 292 1
16 13 1477 513 1
26 20 1645 318 1
13 25 550 100 1
16 13 671 726 1
23 26 1594 1052 1
13 6 223 597 1
26 10 574 593 1
16 23 746 416 1
3 19 1928 713 1
16 10 396 514 1
7 23 907 152 1
22 3 1492 283 1
29 10 483 1038 1
23 23 1382 991 1
3 13 685 443 1
22 19 1628 332 1
20 23 1236 246 1
22 25 914 337 1
6 22 562 614 1
3 16 1796 762 1
6 6 1445 1014 1
26 13 1295 104 1
10 7 1801 301 1
3 13 1210 892 1
16 29 1883 380 1
29 20 1704 502 1
19 3 1814 369 1
19 3 784 755 1
10 29 1488 1094 1
28 19 828 888 1
16 6 1188 697 1
13 23 1714 347 1
13 3 699 1056 1
26 19 1397 1043 1
7 7 501 800 1
9 13 1442 168 1
19 6 217 732 1
10 16 1202 634 1
19 25 305 782 1
26 6 1156 1073 1
29 13 1014 130 1
6 19 1243 977 1
3 22 940 937 1
7 29 743 826 1
16 28 875 1094 1
10 29 676 526 1
23 26 1913 600 1
16 6 1907 397 1
10 13 347 187 1
7 16 789 650 1
9 25 849 1008 1
6 22 597 540 1
3 23 571 632 1
13 16 1838 354 1
26 22 1065 616 1
7 13 734 917 1
19 3 1982 619 1
19 22 1260 355 1
10 29 1065 111 1
28 22 330 563 1
10 6 1765 970 1
3 10 984 463 1
6 16 618 1039 1
3 3 355 869 1
7 10 1672 419 1
22 28 1002 795 1
26 26 1170 838 1
7 20 1577 1043 1
22 19 602 291 1
6 6 779 122 1
26 29 267 777 1
19 28 486 840 1
16 3 279 744 1
7 26 1257 632 1
22 9 1805 279 1
6 16 647 872 1
20 20 418 893 1
19 9 1897 881 1
22 22 318 898 1
29 16 584 203 1
16 22 491 581 1
16 3 477 194 1
29 20 1972 641 1
9 16 814 281 1
13 6 1475 889 1
7 20 1241 674 1
16 28 1863 653 1
22 10 1233 546 1
20 13 848 198 1
22 22 626 1048 1
13 10 629 410 1
29 16 1442 123 1
19 16 1319 385 1
19 16 1012 845 1
20 16 1200 991 1
25 22 580 176 1
19 6 324 237 1
10 13 414 478 1
28 6 1953 299 1
